participant,device,phase,n,N
3115,CD1C,play,54,22.5
3115,CD1C,sf,23,25.555555555555554
3115,CD2B,play,43,17.916666666666668
3115,CD2B,sf,10,11.11111111111111
3115,CD2B,reunion,11,4.583333333333333
3125,CD1C,play,8,3.3333333333333335
3125,CD1C,sf,9,10
3125,CD1C,reunion,3,1.25
3125,CD2B,play,5,2.083333333333333
3125,CD2B,sf,11,12.222222222222221
3125,CD2B,reunion,7,2.9166666666666665
3128,CD1C,play,13,5.416666666666667
3128,CD1C,sf,14,15.555555555555555
3128,CD1C,reunion,11,4.583333333333333
3128,CD2B,play,6,2.5
3128,CD2B,sf,7,7.777777777777778
3128,CD2B,reunion,12,5
3143,CD1C,play,5,2.083333333333333
3143,CD1C,sf,5,5.555555555555555
3143,CD1C,reunion,9,3.75
3143,CD2B,play,7,2.9166666666666665
3143,CD2B,sf,8,8.88888888888889
3143,CD2B,reunion,12,5
3154,CD1C,play,6,2.5
3154,CD1C,sf,3,3.3333333333333335
3154,CD1C,reunion,16,6.666666666666667
3154,CD2B,play,6,2.5
3154,CD2B,sf,7,7.777777777777778
3154,CD2B,reunion,15,6.25
3155,CD1C,play,5,2.083333333333333
3155,CD1C,sf,10,11.11111111111111
3155,CD1C,reunion,22,9.166666666666666
3155,CD2B,play,6,2.5
3155,CD2B,sf,13,14.444444444444443
3155,CD2B,reunion,24,10
3158,CD1C,play,5,2.083333333333333
3158,CD1C,sf,4,4.444444444444445
3158,CD1C,reunion,5,2.083333333333333
3158,CD2B,play,9,3.75
3158,CD2B,sf,5,5.555555555555555
3158,CD2B,reunion,19,7.916666666666666
3161,CD1C,play,1,0.4166666666666667
3161,CD1C,sf,2,2.2222222222222223
3161,CD1C,reunion,14,5.833333333333333
3161,CD2B,play,2,0.8333333333333334
3161,CD2B,sf,2,2.2222222222222223
3161,CD2B,reunion,3,1.25
3164,CD1C,play,9,3.75
3164,CD1C,sf,6,6.666666666666667
3164,CD1C,reunion,24,10
3164,CD2B,play,10,4.166666666666666
3164,CD2B,sf,8,8.88888888888889
3164,CD2B,reunion,19,7.916666666666666
3165,CD2B,sf,2,2.2222222222222223
3165,CD2B,reunion,4,1.6666666666666667
3169,CD1C,play,4,1.6666666666666667
3169,CD1C,sf,7,7.777777777777778
3169,CD1C,reunion,14,5.833333333333333
3169,CD2B,play,6,2.5
3169,CD2B,sf,5,5.555555555555555
3169,CD2B,reunion,14,5.833333333333333
3170,CD1C,play,26,10.833333333333334
3170,CD1C,sf,2,2.2222222222222223
3170,CD2B,play,18,7.5
3171,CD1C,sf,2,2.2222222222222223
3171,CD1C,reunion,8,3.3333333333333335
3171,CD2B,play,7,2.9166666666666665
3171,CD2B,sf,4,4.444444444444445
3171,CD2B,reunion,15,6.25
3172,CD1C,play,3,1.25
3172,CD1C,sf,8,8.88888888888889
3172,CD1C,reunion,7,2.9166666666666665
3172,CD2B,play,10,4.166666666666666
3172,CD2B,sf,6,6.666666666666667
3176,CD1C,play,4,1.6666666666666667
3176,CD1C,sf,6,6.666666666666667
3176,CD1C,reunion,12,5
3176,CD2B,play,3,1.25
3176,CD2B,sf,3,3.3333333333333335
3176,CD2B,reunion,9,3.75
3180,CD1C,play,9,3.75
3180,CD1C,sf,10,11.11111111111111
3180,CD1C,reunion,7,2.9166666666666665
3180,CD2B,play,7,2.9166666666666665
3180,CD2B,sf,4,4.444444444444445
3180,CD2B,reunion,7,2.9166666666666665
3181,CD1C,reunion,5,2.083333333333333
3181,CD2B,reunion,1,0.4166666666666667
3184,CD1C,play,4,1.6666666666666667
3184,CD1C,sf,9,10
3184,CD1C,reunion,6,2.5
3184,CD2B,play,6,2.5
3184,CD2B,sf,12,13.333333333333334
3184,CD2B,reunion,14,5.833333333333333
3185,CD1C,play,2,0.8333333333333334
3185,CD1C,sf,10,11.11111111111111
3185,CD1C,reunion,11,4.583333333333333
3185,CD2B,play,8,3.3333333333333335
3185,CD2B,sf,7,7.777777777777778
3185,CD2B,reunion,10,4.166666666666666
3189,CD1C,play,16,6.666666666666667
3189,CD1C,sf,31,34.44444444444444
3189,CD2B,play,6,2.5
3189,CD2B,sf,7,7.777777777777778
3189,CD2B,reunion,13,5.416666666666667
3190,CD1C,play,19,7.916666666666666
3190,CD1C,sf,5,5.555555555555555
3190,CD1C,reunion,14,5.833333333333333
3190,CD2B,play,13,5.416666666666667
3190,CD2B,sf,9,10
3190,CD2B,reunion,12,5
3196,CD2B,play,7,2.9166666666666665
3196,CD2B,sf,7,7.777777777777778
3196,CD2B,reunion,18,7.5
3198,CD1C,play,5,2.083333333333333
3198,CD1C,sf,9,10
3198,CD1C,reunion,16,6.666666666666667
3200,CD1C,play,14,5.833333333333333
3200,CD1C,sf,16,17.77777777777778
3200,CD1C,reunion,14,5.833333333333333
3200,CD2B,play,10,4.166666666666666
3200,CD2B,sf,9,10
3200,CD2B,reunion,14,5.833333333333333
3201,CD1C,play,9,3.75
3201,CD1C,sf,8,8.88888888888889
3201,CD1C,reunion,8,3.3333333333333335
3201,CD2B,play,7,2.9166666666666665
3201,CD2B,sf,6,6.666666666666667
3201,CD2B,reunion,7,2.9166666666666665
3202,CD1C,play,3,1.25
3202,CD1C,sf,8,8.88888888888889
3202,CD1C,reunion,10,4.166666666666666
3202,CD2B,play,4,1.6666666666666667
3202,CD2B,sf,8,8.88888888888889
3202,CD2B,reunion,10,4.166666666666666
3203,CD1C,play,6,2.5
3203,CD1C,sf,8,8.88888888888889
3203,CD2B,play,2,0.8333333333333334
3203,CD2B,sf,2,2.2222222222222223
3203,CD2B,reunion,2,0.8333333333333334
3209,CD1C,play,2,0.8333333333333334
3209,CD1C,sf,4,4.444444444444445
3209,CD1C,reunion,3,1.25
3209,CD2B,play,7,2.9166666666666665
3209,CD2B,sf,7,7.777777777777778
3209,CD2B,reunion,11,4.583333333333333
3213,CD2B,play,4,1.6666666666666667
3213,CD2B,sf,6,6.666666666666667
3213,CD2B,reunion,7,2.9166666666666665
3215,CD1C,play,7,2.9166666666666665
3215,CD1C,sf,8,8.88888888888889
3215,CD1C,reunion,15,6.25
3215,CD2B,play,8,3.3333333333333335
3215,CD2B,sf,8,8.88888888888889
3215,CD2B,reunion,15,6.25
3218,CD1C,play,7,2.9166666666666665
3218,CD1C,sf,1,1.1111111111111112
3218,CD2B,play,8,3.3333333333333335
3218,CD2B,sf,6,6.666666666666667
3218,CD2B,reunion,13,5.416666666666667
3225,CD2B,play,2,0.8333333333333334
3225,CD2B,sf,2,2.2222222222222223
3225,CD2B,reunion,4,1.6666666666666667
3226,CD1C,play,3,1.25
3226,CD1C,sf,7,7.777777777777778
3226,CD2B,play,4,1.6666666666666667
3226,CD2B,sf,6,6.666666666666667
3226,CD2B,reunion,5,2.083333333333333
3227,CD2B,play,8,3.3333333333333335
3227,CD2B,reunion,14,5.833333333333333
3234,CD1C,play,6,2.5
3234,CD1C,sf,6,6.666666666666667
3234,CD1C,reunion,9,3.75
3234,CD2B,play,4,1.6666666666666667
3234,CD2B,sf,11,12.222222222222221
3234,CD2B,reunion,10,4.166666666666666
3236,CD1C,play,1,0.4166666666666667
3236,CD1C,sf,7,7.777777777777778
3236,CD1C,reunion,5,2.083333333333333
3237,CD1C,play,12,5
3237,CD1C,sf,34,37.77777777777778
3237,CD2B,play,8,3.3333333333333335
3237,CD2B,sf,1,1.1111111111111112
3237,CD2B,reunion,15,6.25
3239,CD2B,play,1,0.4166666666666667
3239,CD2B,reunion,17,7.083333333333333
3246,CD1C,play,1,0.4166666666666667
3246,CD1C,sf,36,40
3246,CD2B,reunion,19,7.916666666666666
3247,CD1C,play,19,7.916666666666666
3247,CD1C,sf,39,43.333333333333336
3247,CD2B,play,7,2.9166666666666665
3247,CD2B,sf,1,1.1111111111111112
3247,CD2B,reunion,16,6.666666666666667
3249,CD1C,play,10,4.166666666666666
3249,CD1C,sf,19,21.11111111111111
3254,CD1C,play,13,5.416666666666667
3254,CD1C,sf,23,25.555555555555554
3254,CD2B,play,12,5
3254,CD2B,sf,1,1.1111111111111112
3254,CD2B,reunion,21,8.75
3264,CD1C,sf,5,5.555555555555555
3264,CD1C,reunion,13,5.416666666666667
3264,CD2B,play,10,4.166666666666666
3264,CD2B,sf,10,11.11111111111111
3264,CD2B,reunion,13,5.416666666666667
3266,CD1C,play,1,0.4166666666666667
3266,CD1C,sf,4,4.444444444444445
3266,CD1C,reunion,4,1.6666666666666667
3266,CD2B,play,2,0.8333333333333334
3266,CD2B,sf,3,3.3333333333333335
3266,CD2B,reunion,6,2.5
3267,CD1C,play,10,4.166666666666666
3267,CD1C,sf,12,13.333333333333334
3267,CD1C,reunion,18,7.5
3267,CD2B,play,9,3.75
3267,CD2B,sf,11,12.222222222222221
3267,CD2B,reunion,15,6.25
3272,CD1C,play,2,0.8333333333333334
3272,CD1C,reunion,7,2.9166666666666665
3275,CD1C,play,9,3.75
3275,CD1C,sf,7,7.777777777777778
3275,CD1C,reunion,7,2.9166666666666665
3275,CD2B,play,14,5.833333333333333
3275,CD2B,sf,9,10
3275,CD2B,reunion,16,6.666666666666667
3276,CD1C,play,9,3.75
3276,CD1C,sf,3,3.3333333333333335
3276,CD1C,reunion,11,4.583333333333333
3276,CD2B,play,4,1.6666666666666667
3276,CD2B,sf,2,2.2222222222222223
3276,CD2B,reunion,9,3.75
3277,CD1C,play,14,5.833333333333333
3277,CD1C,sf,7,7.777777777777778
3277,CD1C,reunion,6,2.5
3277,CD2B,play,11,4.583333333333333
3277,CD2B,sf,14,15.555555555555555
3277,CD2B,reunion,8,3.3333333333333335
3278,CD1C,play,7,2.9166666666666665
3278,CD1C,sf,1,1.1111111111111112
3278,CD1C,reunion,1,0.4166666666666667
3278,CD2B,play,8,3.3333333333333335
3281,CD1C,play,11,4.583333333333333
3281,CD1C,sf,6,6.666666666666667
3281,CD1C,reunion,12,5
3281,CD2B,play,13,5.416666666666667
3281,CD2B,sf,8,8.88888888888889
3281,CD2B,reunion,18,7.5
3283,CD1C,play,5,2.083333333333333
3283,CD1C,sf,5,5.555555555555555
3283,CD1C,reunion,9,3.75
3283,CD2B,play,7,2.9166666666666665
3283,CD2B,reunion,1,0.4166666666666667
3287,CD1C,play,1,0.4166666666666667
3287,CD1C,sf,5,5.555555555555555
3287,CD1C,reunion,1,0.4166666666666667
3289,CD1C,play,9,3.75
3289,CD1C,sf,6,6.666666666666667
3289,CD1C,reunion,10,4.166666666666666
3289,CD2B,play,6,2.5
3289,CD2B,sf,8,8.88888888888889
3289,CD2B,reunion,5,2.083333333333333
3290,CD1C,play,7,2.9166666666666665
3290,CD1C,sf,14,15.555555555555555
3290,CD1C,reunion,11,4.583333333333333
3290,CD2B,play,6,2.5
3293,CD1C,play,7,2.9166666666666665
3293,CD1C,sf,5,5.555555555555555
3293,CD1C,reunion,11,4.583333333333333
3293,CD2B,play,7,2.9166666666666665
3293,CD2B,sf,7,7.777777777777778
3293,CD2B,reunion,12,5
3308,CD1C,play,14,5.833333333333333
3308,CD1C,sf,19,21.11111111111111
3308,CD1C,reunion,21,8.75
3308,CD2B,play,12,5
3308,CD2B,sf,13,14.444444444444443
3308,CD2B,reunion,12,5
3310,CD1C,play,3,1.25
3310,CD1C,sf,7,7.777777777777778
3310,CD1C,reunion,10,4.166666666666666
3310,CD2B,reunion,3,1.25
3311,CD1C,play,13,5.416666666666667
3311,CD1C,sf,8,8.88888888888889
3311,CD1C,reunion,17,7.083333333333333
3311,CD2B,play,13,5.416666666666667
3311,CD2B,sf,7,7.777777777777778
3311,CD2B,reunion,18,7.5
3312,CD1C,play,24,10
3312,CD1C,sf,7,7.777777777777778
3312,CD1C,reunion,11,4.583333333333333
3312,CD2B,play,18,7.5
3312,CD2B,sf,8,8.88888888888889
3312,CD2B,reunion,22,9.166666666666666
3315,CD1C,play,4,1.6666666666666667
3315,CD1C,sf,4,4.444444444444445
3315,CD1C,reunion,14,5.833333333333333
3315,CD2B,play,8,3.3333333333333335
3315,CD2B,sf,6,6.666666666666667
3315,CD2B,reunion,8,3.3333333333333335
3327,CD1C,play,13,5.416666666666667
3327,CD1C,sf,3,3.3333333333333335
3327,CD1C,reunion,3,1.25
3327,CD2B,play,8,3.3333333333333335
3327,CD2B,sf,2,2.2222222222222223
3327,CD2B,reunion,5,2.083333333333333
3332,CD1C,play,11,4.583333333333333
3332,CD1C,sf,10,11.11111111111111
3332,CD1C,reunion,12,5
3332,CD2B,play,8,3.3333333333333335
3332,CD2B,sf,16,17.77777777777778
3332,CD2B,reunion,11,4.583333333333333
3334,CD1C,play,8,3.3333333333333335
3334,CD1C,sf,9,10
3334,CD1C,reunion,11,4.583333333333333
3334,CD2B,play,7,2.9166666666666665
3334,CD2B,sf,11,12.222222222222221
3334,CD2B,reunion,12,5
3336,CD1C,sf,3,3.3333333333333335
3336,CD1C,reunion,2,0.8333333333333334
3336,CD2B,play,3,1.25
3336,CD2B,sf,1,1.1111111111111112
3336,CD2B,reunion,2,0.8333333333333334
3345,CD1C,play,9,3.75
3345,CD1C,sf,9,10
3345,CD1C,reunion,18,7.5
3345,CD2B,play,4,1.6666666666666667
3345,CD2B,sf,11,12.222222222222221
3345,CD2B,reunion,18,7.5
3348,CD1C,play,7,2.9166666666666665
3348,CD1C,sf,10,11.11111111111111
3348,CD1C,reunion,6,2.5
3348,CD2B,play,7,2.9166666666666665
3348,CD2B,sf,8,8.88888888888889
3348,CD2B,reunion,2,0.8333333333333334
3350,CD1C,play,10,4.166666666666666
3350,CD1C,sf,6,6.666666666666667
3350,CD1C,reunion,11,4.583333333333333
3350,CD2B,play,10,4.166666666666666
3350,CD2B,sf,11,12.222222222222221
3350,CD2B,reunion,22,9.166666666666666
3351,CD1C,play,10,4.166666666666666
3351,CD1C,sf,4,4.444444444444445
3351,CD1C,reunion,4,1.6666666666666667
3351,CD2B,play,10,4.166666666666666
3351,CD2B,sf,10,11.11111111111111
3351,CD2B,reunion,12,5
3355,CD1C,play,4,1.6666666666666667
3355,CD1C,sf,4,4.444444444444445
3355,CD1C,reunion,14,5.833333333333333
3355,CD2B,play,6,2.5
3355,CD2B,sf,1,1.1111111111111112
3355,CD2B,reunion,9,3.75
3356,CD1C,play,11,4.583333333333333
3356,CD1C,sf,9,10
3356,CD1C,reunion,15,6.25
3356,CD2B,play,14,5.833333333333333
3356,CD2B,sf,9,10
3356,CD2B,reunion,18,7.5
3359,CD1C,play,6,2.5
3359,CD1C,sf,3,3.3333333333333335
3359,CD1C,reunion,2,0.8333333333333334
3360,CD1C,play,1,0.4166666666666667
3360,CD1C,reunion,8,3.3333333333333335
3360,CD2B,play,6,2.5
3360,CD2B,sf,2,2.2222222222222223
3360,CD2B,reunion,5,2.083333333333333
3361,CD1C,play,16,6.666666666666667
3361,CD1C,sf,12,13.333333333333334
3361,CD1C,reunion,19,7.916666666666666
3361,CD2B,play,7,2.9166666666666665
3361,CD2B,sf,16,17.77777777777778
3361,CD2B,reunion,19,7.916666666666666
3366,CD1C,play,7,2.9166666666666665
3366,CD1C,sf,7,7.777777777777778
3366,CD1C,reunion,13,5.416666666666667
3366,CD2B,play,10,4.166666666666666
3366,CD2B,sf,8,8.88888888888889
3366,CD2B,reunion,12,5
3367,CD1C,play,11,4.583333333333333
3367,CD1C,sf,5,5.555555555555555
3367,CD1C,reunion,19,7.916666666666666
3367,CD2B,play,6,2.5
3367,CD2B,sf,3,3.3333333333333335
3367,CD2B,reunion,16,6.666666666666667
3369,CD1C,sf,1,1.1111111111111112
3369,CD1C,reunion,4,1.6666666666666667
3369,CD2B,play,6,2.5
3369,CD2B,reunion,4,1.6666666666666667
3370,CD1C,play,12,5
3370,CD1C,sf,4,4.444444444444445
3370,CD1C,reunion,12,5
3370,CD2B,play,10,4.166666666666666
3370,CD2B,sf,5,5.555555555555555
3370,CD2B,reunion,2,0.8333333333333334
3372,CD1C,play,14,5.833333333333333
3372,CD1C,sf,9,10
3372,CD1C,reunion,15,6.25
3372,CD2B,play,9,3.75
3372,CD2B,sf,7,7.777777777777778
3372,CD2B,reunion,16,6.666666666666667
3373,CD1C,play,3,1.25
3373,CD1C,sf,5,5.555555555555555
3373,CD1C,reunion,9,3.75
3373,CD2B,play,3,1.25
3373,CD2B,sf,5,5.555555555555555
3373,CD2B,reunion,6,2.5
3375,CD1C,play,2,0.8333333333333334
3375,CD1C,sf,3,3.3333333333333335
3375,CD1C,reunion,3,1.25
3375,CD2B,play,3,1.25
3375,CD2B,sf,5,5.555555555555555
3375,CD2B,reunion,3,1.25
3377,CD1C,play,8,3.3333333333333335
3377,CD1C,sf,9,10
3377,CD1C,reunion,13,5.416666666666667
3377,CD2B,play,14,5.833333333333333
3377,CD2B,sf,11,12.222222222222221
3377,CD2B,reunion,11,4.583333333333333
3379,CD2B,play,7,2.9166666666666665
3379,CD2B,sf,9,10
3379,CD2B,reunion,12,5
3382,CD1C,play,10,4.166666666666666
3382,CD1C,sf,13,14.444444444444443
3382,CD1C,reunion,13,5.416666666666667
3382,CD2B,play,10,4.166666666666666
3382,CD2B,sf,17,18.88888888888889
3382,CD2B,reunion,13,5.416666666666667
3383,CD1C,play,13,5.416666666666667
3383,CD1C,sf,9,10
3383,CD1C,reunion,12,5
3383,CD2B,play,15,6.25
3383,CD2B,sf,14,15.555555555555555
3383,CD2B,reunion,18,7.5
3388,CD1C,play,14,5.833333333333333
3388,CD1C,sf,12,13.333333333333334
3388,CD1C,reunion,14,5.833333333333333
3388,CD2B,play,5,2.083333333333333
3388,CD2B,sf,5,5.555555555555555
3388,CD2B,reunion,11,4.583333333333333
3389,CD1C,play,19,7.916666666666666
3389,CD1C,sf,10,11.11111111111111
3389,CD1C,reunion,6,2.5
3389,CD2B,play,21,8.75
3389,CD2B,sf,13,14.444444444444443
3389,CD2B,reunion,13,5.416666666666667
3391,CD1C,play,2,0.8333333333333334
3391,CD1C,sf,9,10
3391,CD1C,reunion,9,3.75
3391,CD2B,play,10,4.166666666666666
3391,CD2B,sf,12,13.333333333333334
3391,CD2B,reunion,14,5.833333333333333
3392,CD1C,play,9,3.75
3392,CD1C,sf,9,10
3392,CD1C,reunion,16,6.666666666666667
3392,CD2B,play,8,3.3333333333333335
3392,CD2B,sf,13,14.444444444444443
3392,CD2B,reunion,14,5.833333333333333
3393,CD1C,play,10,4.166666666666666
3393,CD1C,sf,4,4.444444444444445
3393,CD1C,reunion,17,7.083333333333333
3393,CD2B,play,8,3.3333333333333335
3393,CD2B,sf,9,10
3393,CD2B,reunion,17,7.083333333333333
3399,CD1C,play,2,0.8333333333333334
3399,CD1C,sf,2,2.2222222222222223
3399,CD1C,reunion,4,1.6666666666666667
3399,CD2B,reunion,3,1.25
3400,CD1C,play,12,5
3400,CD1C,sf,3,3.3333333333333335
3400,CD1C,reunion,1,0.4166666666666667
3400,CD2B,play,14,5.833333333333333
3400,CD2B,sf,6,6.666666666666667
3403,CD2B,play,1,0.4166666666666667
3403,CD2B,sf,7,7.777777777777778
3403,CD2B,reunion,12,5
3406,CD1C,play,8,3.3333333333333335
3406,CD1C,sf,12,13.333333333333334
3406,CD1C,reunion,4,1.6666666666666667
3409,CD1C,play,20,8.333333333333332
3409,CD2B,play,27,11.25
3410,CD1C,play,16,6.666666666666667
3410,CD1C,sf,10,11.11111111111111
3410,CD1C,reunion,8,3.3333333333333335
3410,CD2B,play,16,6.666666666666667
3410,CD2B,sf,9,10
3410,CD2B,reunion,3,1.25
3412,CD1C,play,6,2.5
3412,CD2B,play,11,4.583333333333333
3417,CD1C,play,11,4.583333333333333
3417,CD1C,sf,15,16.666666666666664
3417,CD1C,reunion,22,9.166666666666666
3417,CD2B,play,10,4.166666666666666
3417,CD2B,sf,12,13.333333333333334
3417,CD2B,reunion,19,7.916666666666666
3421,CD1C,play,31,12.916666666666668
3421,CD1C,sf,4,4.444444444444445
3421,CD1C,reunion,14,5.833333333333333
3421,CD2B,play,32,13.333333333333334
3421,CD2B,sf,6,6.666666666666667
3421,CD2B,reunion,5,2.083333333333333
3424,CD1C,play,3,1.25
3424,CD1C,sf,7,7.777777777777778
3424,CD1C,reunion,5,2.083333333333333
3424,CD2B,play,5,2.083333333333333
3424,CD2B,sf,5,5.555555555555555
3424,CD2B,reunion,4,1.6666666666666667
3432,CD1C,play,9,3.75
3432,CD1C,sf,15,16.666666666666664
3432,CD1C,reunion,17,7.083333333333333
3432,CD2B,play,12,5
3432,CD2B,sf,12,13.333333333333334
3432,CD2B,reunion,13,5.416666666666667
3433,CD1C,play,3,1.25
3433,CD1C,reunion,1,0.4166666666666667
3433,CD2B,play,6,2.5
3433,CD2B,sf,4,4.444444444444445
3433,CD2B,reunion,1,0.4166666666666667
3434,CD2B,play,3,1.25
3434,CD2B,sf,5,5.555555555555555
3434,CD2B,reunion,6,2.5
3435,CD1C,play,7,2.9166666666666665
3435,CD1C,reunion,3,1.25
3435,CD2B,play,12,5
3435,CD2B,sf,1,1.1111111111111112
3435,CD2B,reunion,6,2.5
3436,CD1C,play,10,4.166666666666666
3436,CD1C,sf,5,5.555555555555555
3436,CD1C,reunion,10,4.166666666666666
3436,CD2B,play,8,3.3333333333333335
3436,CD2B,sf,7,7.777777777777778
3436,CD2B,reunion,4,1.6666666666666667
3438,CD1C,play,4,1.6666666666666667
3438,CD1C,sf,5,5.555555555555555
3438,CD1C,reunion,2,0.8333333333333334
3438,CD2B,play,3,1.25
3438,CD2B,sf,3,3.3333333333333335
3440,CD1C,play,1,0.4166666666666667
3440,CD2B,play,9,3.75
3440,CD2B,sf,16,17.77777777777778
3440,CD2B,reunion,6,2.5
3445,CD1C,play,11,4.583333333333333
3445,CD1C,sf,7,7.777777777777778
3445,CD1C,reunion,15,6.25
3445,CD2B,play,11,4.583333333333333
3445,CD2B,sf,8,8.88888888888889
3445,CD2B,reunion,14,5.833333333333333
3446,CD1C,play,8,3.3333333333333335
3446,CD1C,sf,9,10
3446,CD1C,reunion,10,4.166666666666666
3450,CD1C,play,8,3.3333333333333335
3450,CD1C,sf,5,5.555555555555555
3450,CD1C,reunion,3,1.25
3450,CD2B,play,2,0.8333333333333334
3450,CD2B,sf,3,3.3333333333333335
3450,CD2B,reunion,7,2.9166666666666665
3455,CD1C,play,9,3.75
3455,CD1C,sf,2,2.2222222222222223
3455,CD1C,reunion,2,0.8333333333333334
3455,CD2B,play,12,5
3455,CD2B,sf,4,4.444444444444445
3455,CD2B,reunion,6,2.5
3458,CD1C,play,13,5.416666666666667
3458,CD1C,sf,9,10
3458,CD2B,play,13,5.416666666666667
3458,CD2B,sf,3,3.3333333333333335
3459,CD1C,play,5,2.083333333333333
3459,CD1C,sf,5,5.555555555555555
3459,CD1C,reunion,8,3.3333333333333335
3459,CD2B,play,7,2.9166666666666665
3459,CD2B,sf,8,8.88888888888889
3459,CD2B,reunion,10,4.166666666666666
3461,CD1C,play,12,5
3461,CD1C,sf,4,4.444444444444445
3461,CD1C,reunion,7,2.9166666666666665
3461,CD2B,play,17,7.083333333333333
3461,CD2B,sf,3,3.3333333333333335
3461,CD2B,reunion,7,2.9166666666666665
3462,CD1C,play,1,0.4166666666666667
3462,CD1C,sf,9,10
3462,CD1C,reunion,3,1.25
3462,CD2B,play,1,0.4166666666666667
3462,CD2B,sf,9,10
3468,CD1C,play,11,4.583333333333333
3468,CD1C,sf,10,11.11111111111111
3468,CD1C,reunion,18,7.5
3468,CD2B,play,7,2.9166666666666665
3468,CD2B,sf,5,5.555555555555555
3468,CD2B,reunion,13,5.416666666666667
3472,CD1C,play,8,3.3333333333333335
3472,CD1C,sf,12,13.333333333333334
3472,CD1C,reunion,4,1.6666666666666667
3472,CD2B,play,10,4.166666666666666
3472,CD2B,sf,13,14.444444444444443
